NOMBRE;COLOR;COSTEMANA;TIPOS;EDICION;FECHA;DESCRIPCION;ESTADISTICAS;CANTIDAD
Valor of the Worthy;W;{W};Enchantment — Aura;Kaldheim;2021-02-05;"Enchant creature
Enchanted creature gets +1/+1.
When enchanted creature leaves the battlefield, create a 1/1 white Spirit creature token with flying.";/;1
Valor in Akros;W;{3}{W};Enchantment;Double Masters;2020-08-07;Whenever a creature you control enters, creatures you control get +1/+1 until end of turn.;/;1
Dawnstrike Vanguard;W;{5}{W};Creature — Human Knight;Edge of Eternities;2025-08-01;"Lifelink
At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on each creature you control other than this creature.";4/5;1
Starport Security;W;{W};Artifact Creature — Robot Soldier;Edge of Eternities;2025-08-01;{3}{W}, {T}: Tap another target creature. This ability costs {2} less to activate if you control a creature with a +1/+1 counter on it.;1/1;1
Parasitic Grasp;B;{1}{B};Instant;Innistrad: Crimson Vow;2021-11-19;"Cleave {1}{B}{B} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Parasitic Grasp deals 3 damage to target [Human] creature. You gain 3 life.";/;3
Corpse Churn;B;{1}{B};Instant;Ravnica: Clue Edition;2024-02-23;Mill three cards, then you may return a creature card from your graveyard to your hand. (To mill three cards, put the top three cards of your library into your graveyard.);/;1
Alpharael, Stonechosen;B;{3}{B}{B};Legendary Creature — Human Cleric;Edge of Eternities;2025-08-01;"Ward—Discard a card at random.
Void — Whenever Alpharael attacks, if a nonland permanent left the battlefield this turn or a spell was warped this turn, defending player loses half their life, rounded up.";3/3;1
Cutthroat Contender;B;{B};Creature — Vampire Warrior;Streets of New Capenna;2022-04-29;Pay 1 life: This creature gets +1/+0 until end of turn. Activate only once each turn.;1/1;1
Decode Transmissions;B;{2}{B};Sorcery;Edge of Eternities;2025-08-01;"You draw two cards and lose 2 life.
Void — If a nonland permanent left the battlefield this turn or a spell was warped this turn, instead you draw two cards and each opponent loses 2 life.";/;2
Duress;B;{B};Sorcery;Foundations;2024-11-15;Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.;/;2
Dream Devourer;B;{1}{B};Creature — Demon Cleric;Kaldheim;2021-02-05;"Each nonland card in your hand without foretell has foretell. Its foretell cost is equal to its mana cost reduced by {2}. (During your turn, you may pay {2} and exile it from your hand face down. Cast it on a later turn for its foretell cost.)
Whenever you foretell a card, this creature gets +2/+0 until end of turn.";0/3;1
Embrace Oblivion;B;{B};Sorcery;Edge of Eternities;2025-08-01;"As an additional cost to cast this spell, sacrifice an artifact or creature.
Destroy target creature or Spacecraft.";/;1
Monoist Sentry;B;{B};Artifact Creature — Robot;Edge of Eternities;2025-08-01;Defender;4/1;3
Infernal Grasp;B;{1}{B};Instant;Secrets of Strixhaven Commander;2026-04-24;Destroy target creature. You lose 2 life.;/;1
Kozilek's Translator;;{4}{B};Creature — Eldrazi Drone;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
Pay 1 life: Add {C}. Activate only once each turn. ({C} represents colorless mana.)";3/5;2
Null Caller;B;{3}{B};Creature — Vampire Shaman;Commander Legends;2020-11-20;{3}{B}, Exile a creature card from your graveyard: Create a tapped 2/2 black Zombie creature token.;2/4;1
Join the Maestros;B;{4}{B};Sorcery;Streets of New Capenna;2022-04-29;"Casualty 2 (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell.)
Create a 4/3 black Ogre Warrior creature token.";/;1
Swarm Culler;B;{3}{B};Creature — Insect Warrior;Edge of Eternities;2025-08-01;"Flying
Whenever this creature becomes tapped, you may sacrifice another creature or artifact. If you do, draw a card.";2/4;1
Perigee Beckoner;B;{4}{B};Creature — Horror;Edge of Eternities;2025-08-01;"When this creature enters, until end of turn, another target creature you control gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""
Warp {1}{B} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";4/5;2
Beamsaw Prospector;B;{1}{B};Creature — Human Artificer;Edge of Eternities;2025-08-01;"When this creature dies, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")";2/1;1
Gravpack Monoist;B;{2}{B};Creature — Human Scout;Edge of Eternities;2025-08-01;"Flying
When this creature dies, create a tapped 2/2 colorless Robot artifact creature token.";2/1;1
Courier Bat;B;{2}{B};Creature — Bat;Innistrad: Crimson Vow;2021-11-19;"Flying
When this creature enters, if you gained life this turn, return up to one target creature card from your graveyard to your hand.";2/2;1
Dark Endurance;B;{1}{B};Instant;Edge of Eternities;2025-08-01;"This spell costs {1} less to cast if it targets a blocking creature.
Target creature gets +2/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)";/;1
Witness the End;;{3}{B};Sorcery;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
Target opponent exiles two cards from their hand and loses 2 life.";/;1
Ray of Enfeeblement;B;{B};Instant;Adventures in the Forgotten Realms;2021-07-23;Target creature gets -4/-1 until end of turn. If that creature is white, it gets -4/-4 until end of turn instead.;/;2
Grisly Ritual;B;{5}{B};Sorcery;Innistrad: Crimson Vow;2021-11-19;"Destroy target creature or planeswalker. Create two Blood tokens. (They're artifacts with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")";/;1
Havoc Sower;;{3}{B};Creature — Eldrazi Drone;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
{1}{C}: This creature gets +2/+1 until end of turn. ({C} represents colorless mana.)";3/3;1
Vote Out;B;{3}{B};Sorcery;Edge of Eternities;2025-08-01;"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target creature.";/;2
Slaughter Drone;;{1}{B};Creature — Eldrazi Drone;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
{C}: This creature gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it. {C} represents colorless mana.)";2/2;1
Roving Actuator;R;{3}{R};Artifact Creature — Robot;Edge of Eternities;2025-08-01;Void — When this creature enters, if a nonland permanent left the battlefield this turn or a spell was warped this turn, exile up to one target instant or sorcery card with mana value 2 or less from your graveyard. Copy it. You may cast the copy without paying its mana cost.;3/4;1
Kavaron Skywarden;R;{4}{R};Creature — Kavu Soldier;Edge of Eternities;2025-08-01;"Reach
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, put a +1/+1 counter on this creature.";4/5;2
Territorial Bruntar;R;{4}{R}{R};Creature — Beast;Edge of Eternities;2025-08-01;"Reach
Landfall — Whenever a land you control enters, exile cards from the top of your library until you exile a nonland card. You may cast that card this turn.";6/6;2
Kav Landseeker;R;{3}{R};Creature — Kavu Soldier;Edge of Eternities;2025-08-01;"Menace (This creature can't be blocked except by two or more creatures.)
When this creature enters, create a Lander token. At the beginning of the end step on your next turn, sacrifice that token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")";4/3;1
Orbital Plunge;R;{3}{R};Sorcery;Edge of Eternities;2025-08-01;"Orbital Plunge deals 6 damage to target creature. If excess damage was dealt this way, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")";/;1
Bombard;R;{2}{R};Instant;Edge of Eternities;2025-08-01;Bombard deals 4 damage to target creature.;/;1
Boulder Salvo;R;{4}{R};Sorcery;Oath of the Gatewatch;2016-01-22;"Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Boulder Salvo deals 4 damage to target creature.";/;1
Pain for All;R;{2}{R};Enchantment — Aura;Edge of Eternities;2025-08-01;"Enchant creature you control
When this Aura enters, enchanted creature deals damage equal to its power to any other target.
Whenever enchanted creature is dealt damage, it deals that much damage to each opponent.";/;1
Nebula Dragon;R;{6}{R};Creature — Dragon;Edge of Eternities;2025-08-01;"Flying
When this creature enters, it deals 3 damage to any target.";4/4;1
